Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
426,José Sá,pt POR,GK,Wolves,28,1993,36.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,903b6e8b
427,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,0.16,02.05,0.83,40.6,02.05,0.83,0.08,0.19,19.0,0.00,0.00,0.00,0.16,0.16,0.08,-0.00,-0.00,Matches,2b16cb1a
428,Romain Saïss,ma MAR,DF,Wolves,31,1990,30.1,0.07,0.60,0.20,33.3,0.60,0.20,0.11,0.33,11.8,0.03,0.00,0.00,0.09,0.09,0.15,-0.02,-0.02,Matches,9fbbcf39
429,Bukayo Saka,eng ENG,FWMF,Arsenal,19,2001,33.1,0.33,2.87,0.88,30.5,2.87,0.88,0.09,0.31,16.9,0.00,0.06,0.06,0.29,0.25,0.09,0.04,0.02,Matches,bc7dc64d
430,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,30.7,0.75,4.36,1.60,36.6,4.37,1.60,0.13,0.37,15.5,0.03,0.16,0.20,0.71,0.55,0.13,0.04,0.03,Matches,e342ad68
431,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,33.0,0.00,0.76,0.24,32.0,0.76,0.24,0.00,0.00,11.0,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches,0b33f6ad
432,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,12.6,0.00,1.59,0.63,40.0,1.59,0.63,0.00,0.00,25.0,0.00,0.00,0.00,0.05,0.05,0.03,-0.05,-0.05,Matches,1b4f1169
433,Davinson Sánchez,co COL,DF,Tottenham,25,1996,18.1,0.11,0.72,0.17,23.1,0.72,0.17,0.15,0.67,8.1,0.00,0.00,0.00,0.12,0.12,0.16,-0.01,-0.01,Matches,da7b447d
434,Robert Sánchez,es ESP,GK,Brighton,23,1997,37.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,6a713852
435,Jadon Sancho,eng ENG,FWMF,Manchester Utd,21,2000,21.1,0.14,1.23,0.43,34.6,1.23,0.43,0.12,0.33,14.6,0.00,0.00,0.00,0.16,0.16,0.13,-0.01,-0.01,Matches,dbf053da
436,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,4.0,0.00,0.25,0.00,0.0,0.25,0.00,0.00,,33.8,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches,6e7f1353
437,Samir Santos,br BRA,DF,Watford,26,1994,18.6,0.00,0.43,0.11,25.0,0.43,0.11,0.00,0.00,11.6,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches,92b4758e
438,Josh Sargent,us USA,FWMF,Norwich City,21,2000,17.5,0.11,1.49,0.11,7.7,1.49,0.11,0.08,1.00,15.3,0.00,0.00,0.00,0.15,0.15,0.11,-0.04,-0.04,Matches,a8d4428b
439,Jeremy Sarmiento,ec ECU,FWMF,Brighton,19,2002,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,ac0d576d
440,Ismaila Sarr,sn SEN,FWMF,Watford,23,1998,20.7,0.24,1.84,0.72,39.5,1.84,0.73,0.13,0.33,18.2,0.00,0.00,0.05,0.20,0.17,0.09,0.04,0.07,Matches,bfdb33aa
441,Malang Sarr,fr FRA,DF,Chelsea,22,1999,6.1,0.00,0.16,0.00,0.0,0.16,0.00,0.00,,21.5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches,4315f30d
442,Dane Scarlett,eng ENG,MF,Tottenham,17,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,21945a9e
443,Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,24.0,0.08,0.83,0.25,30.0,0.83,0.25,0.10,0.33,16.9,0.13,0.00,0.00,0.05,0.05,0.07,0.03,0.03,Matches,c8aa95da
444,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,28,1992,20.6,0.19,1.60,0.44,27.3,1.60,0.44,0.12,0.44,13.4,0.00,0.00,0.00,0.15,0.15,0.09,0.04,0.04,Matches,3312f911
445,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,53af52f3
446,Ken Sema,se SWE,MFFW,Watford,27,1993,9.5,0.00,0.32,0.11,33.3,0.32,0.11,0.00,0.00,21.1,0.11,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches,1770bd68
447,Nélson Semedo,pt POR,DF,Wolves,27,1993,23.7,0.00,0.80,0.17,21.1,0.80,0.17,0.00,0.00,20.3,0.00,0.00,0.00,0.06,0.06,0.07,-0.06,-0.06,Matches,d04b94db
448,Ryan Sessegnon,eng ENG,DF,Tottenham,21,2000,11.6,0.00,0.52,0.09,16.7,0.52,0.09,0.00,0.00,13.6,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches,6aa3e78b
449,Jamie Shackleton,eng ENG,DFMF,Leeds United,21,1999,7.9,0.00,0.51,0.13,25.0,0.51,0.13,0.00,0.00,18.8,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches,8d03ca5a
450,Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,17.8,0.00,0.34,0.06,16.7,0.34,0.06,0.00,0.00,23.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches,9c94165b
451,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,22.0,0.09,1.32,0.64,48.3,1.32,0.64,0.07,0.14,26.3,0.27,0.00,0.00,0.04,0.04,0.03,0.05,0.05,Matches,3727dd3c
452,Shola Shoretire,eng ENG,FW,Manchester Utd,17,2004,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,00f0482f
453,Francisco Sierralta,cl CHI,DF,Watford,24,1997,4.7,0.00,0.21,0.21,100.0,0.21,0.21,0.00,0.00,9.0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches,0f933743
454,Bernardo Silva,pt POR,MFFW,Manchester City,26,1994,31.7,0.25,1.48,0.60,40.4,1.48,0.60,0.17,0.42,12.4,0.00,0.00,0.00,0.21,0.21,0.14,0.04,0.04,Matches,3eb22ec9
455,Fábio Silva,pt POR,FW,Wolves,19,2002,6.4,0.00,2.97,0.78,26.3,2.99,0.79,0.00,0.00,13.2,0.00,0.00,0.00,0.36,0.36,0.12,-0.36,-0.36,Matches,e7aa9d7c
456,Thiago Silva,br BRA,DF,Chelsea,36,1984,29.4,0.10,0.61,0.17,27.8,0.61,0.17,0.17,0.60,10.7,0.00,0.00,0.00,0.03,0.03,0.05,0.07,0.07,Matches,86e7deaf
457,Ellis Simms,eng ENG,FW,Everton,20,2001,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,26d3b5be
458,Moussa Sissoko,fr FRA,MF,Watford,31,1989,35.8,0.06,0.70,0.22,32.0,0.70,0.22,0.08,0.25,16.4,0.00,0.00,0.00,0.09,0.09,0.14,-0.04,-0.04,Matches,2acd49b9
459,Oliver Skipp,eng ENG,MF,Tottenham,20,2000,15.0,0.00,0.27,0.07,25.0,0.27,0.07,0.00,0.00,24.1,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches,6250083a
460,William Smallbone,ie IRL,MFFW,Southampton,21,2000,1.5,0.00,0.67,0.00,0.0,0.68,0.00,0.00,,17.5,0.00,0.00,0.00,0.07,0.07,0.08,-0.07,-0.07,Matches,5e105217
461,Emile Smith Rowe,eng ENG,MFFW,Arsenal,21,2000,21.3,0.47,1.88,01.08,57.5,1.87,01.08,0.25,0.43,15.5,0.00,0.00,0.00,0.27,0.27,0.14,0.20,0.20,Matches,17695062
462,Cédric Soares,pt POR,DF,Arsenal,29,1991,16.5,0.06,0.73,0.06,8.3,0.73,0.06,0.08,1.00,21.7,0.12,0.00,0.00,0.03,0.03,0.04,0.03,0.03,Matches,839c14e1
463,Tomáš Souček,cz CZE,MF,West Ham,26,1995,34.0,0.15,1.32,0.32,24.4,1.32,0.32,0.11,0.45,11.9,0.00,0.00,0.00,0.14,0.13,0.10,0.01,0.02,Matches,6613c819
