Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
497,Bertrand Traoré,bf BFA,MFFW,Aston Villa,25,1995,2.4,0,8,1,12.5,3.27,0.41,0.00,0.00,16.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
498,Trézéguet,eg EGY,FW,Aston Villa,26,1994,0.1,0,1,0,0.0,8.18,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
499,Francisco Trincão,pt POR,FWMF,Wolves,21,1999,14.8,2,31,13,41.9,02.09,0.88,0.06,0.15,18.0,1,0,0,3.4,3.4,0.11,-1.4,-1.4,Matches
500,Kieran Trippier,eng ENG,DF,Newcastle Utd,30,1990,4.8,2,2,2,100.0,0.42,0.42,1.00,1.00,23.2,2,0,0,0.1,0.1,0.06,+1.9,+1.9,Matches
501,William Troost-Ekong,ng NGA,DF,Watford,27,1993,15.4,0,2,0,0.0,0.13,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
502,Leandro Trossard,be BEL,FWMF,Brighton,26,1994,31.2,8,72,26,36.1,2.31,0.83,0.10,0.27,18.1,5,1,1,6.8,6.0,0.08,+1.2,+1.0,Matches
503,Kostas Tsimikas,gr GRE,DF,Liverpool,25,1996,9.7,0,8,2,25.0,0.82,0.21,0.00,0.00,17.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
504,Axel Tuanzebe,eng ENG,DF,Aston Villa,23,1997,5.6,0,2,1,50.0,0.35,0.18,0.00,0.00,7.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
505,Ozan Tufan,tr TUR,MF,Watford,26,1995,3.7,0,3,0,0.0,0.81,0.00,0.00,,17.9,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
506,Christos Tzolis,gr GRE,FWMF,Norwich City,19,2002,3.7,0,6,2,33.3,1.61,0.54,0.00,0.00,18.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
507,Yan Valery,fr FRA,DF,Southampton,22,1999,4.1,0,2,0,0.0,0.49,0.00,0.00,,28.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
508,Raphaël Varane,fr FRA,DF,Manchester Utd,28,1993,20.3,1,9,1,11.1,0.44,0.05,0.11,1.00,8.3,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
509,Jamie Vardy,eng ENG,FW,Leicester City,34,1987,20.1,15,53,25,47.2,2.64,1.25,0.28,0.60,12.1,0,0,0,9.5,9.5,0.18,+5.5,+5.5,Matches
510,Joël Veltman,nl NED,DF,Brighton,29,1992,31.9,1,12,2,16.7,0.38,0.06,0.08,0.50,16.6,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
511,Jannik Vestergaard,dk DEN,DF,Leicester City,28,1992,6.3,0,1,0,0.0,0.16,0.00,0.00,,4.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
512,Nikola Vlašić,hr CRO,FWMF,West Ham,23,1997,6.2,1,7,3,42.9,1.13,0.48,0.14,0.33,17.6,0,0,0,1.0,1.0,0.14,0.0,0.0,Matches
513,Matěj Vydra,cz CZE,FW,Burnley,29,1992,7.5,2,19,7,36.8,2.52,0.93,0.11,0.29,14.3,0,0,0,3.0,3.0,0.16,-1.0,-1.0,Matches
